Adres,Cena,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Ogrzewanie,Certyfikat energetyczny,Rynek,Typ ogłoszeniodawcy,Dostępne od,Rok budowy,Rodzaj zabudowy,Okna,Winda,Media,Zabezpieczenia,Wyposażenie,Informacje dodatkowe,Materiał budynku,Link
"al. Aleja Niepodległości, Stary Mokotów, Mokotów, Warszawa, mazowieckie",839 000 zł,43 m²,,2,,parter/6,,,,,,wtórny,biuro nieruchomości,,1950.0,,,nie,,,,,,https://www.otodom.pl/pl/oferta/2pokoje-43m2-mokotow-metro-zielen-ID4rv6e
"ul. Wojciecha Chrzanowskiego 7, Grochów, Praga-Południe, Warszawa, mazowieckie",789 000 zł,"47,7 m²",pełna własność,2,do zamieszkania,1/4,balkon,780 zł,,miejskie,A,wtórny,biuro nieruchomości,2024-07-09,1950.0,kamienica,plastikowe,nie,"telewizja kablowa, internet","domofon / wideofon, rolety antywłamaniowe","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia, pom. użytkowe",cegła,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-na-pradze-poludnie-ID4rqU2
"ul.Bukowińska, Ksawerów, Mokotów, Warszawa, mazowieckie",1 060 000 zł,50 m²,pełna własność,2,do zamieszkania,> 10/16,"balkon, taras",800 zł,garaż/miejsce parkingowe,miejskie,W trakcie realizacji / Zwolnione,wtórny,prywatny,,2008.0,apartamentowiec,plastikowe,tak,telewizja kablowa,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, piekarnik, kuchenka, pralka",oddzielna kuchnia,cegła,https://www.otodom.pl/pl/oferta/mieszkanie-50m2-warszawa-mokotow-ul-bukowinska-ID4rljW
"al. Aleja Krakowska, Raków, Włochy, Warszawa, mazowieckie",1 389 000 zł,81 m²,pełna własność,4,do wykończenia,8/8,balkon,,garaż/miejsce parkingowe,miejskie,,pierwotny,prywatny,,2024.0,blok,plastikowe,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",,klimatyzacja,silikat,https://www.otodom.pl/pl/oferta/4-pok-mieszkanie-81m2-loggia-2mp-bezposrednio-ID4rlkN
"ul. Jana Kochanowskiego, Piaski, Bielany, Warszawa, mazowieckie",924 000 zł,65 m²,pełna własność,3,do zamieszkania,4/4,balkon,1 000 zł,,miejskie,,wtórny,biuro nieruchomości,,1975.0,blok,plastikowe,nie,,domofon / wideofon,meble,piwnica,,https://www.otodom.pl/pl/oferta/3-pok-65-m2-kochanowskiego-0-prowizja-ID4rf8d
"ul. Głębocka, Grodzisk, Białołęka, Warszawa, mazowieckie",514 000 zł,35 m²,,2,,,,,,,,pierwotny,biuro nieruchomości,,,,,nie,,,,,,https://www.otodom.pl/pl/oferta/budynek-niskoemisyjny-oze-15-min-do-metra-rabat-ID4qT3x
"ul. Zapłocie, Powsin, Wilanów, Warszawa, mazowieckie",1 900 000 zł,154 m²,pełna własność,4,do zamieszkania,1/2,"ogródek, taras",600 zł,garaż/miejsce parkingowe,gazowe,,wtórny,biuro nieruchomości,,2001.0,apartamentowiec,,nie,"telewizja kablowa, internet","system alarmowy, monitoring / ochrona",meble,"piwnica, pom. użytkowe",cegła,https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-z-kominkiem-i-ogrodem-wilanow-ID4k1iW
"ul. Adama Branickiego, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",1 731 900 zł,"75,56 m²",pełna własność,3,do zamieszkania,parter/4,"balkon, ogródek",,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2017.0,apartamentowiec,drewniane,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, piekarnik, kuchenka, pralka",,cegła,https://www.otodom.pl/pl/oferta/nowoczesny-design-dwa-miejsca-garazowe-ID4qwoG
"ul. Emiliana Konopczyńskiego, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",1 900 000 zł,60 m²,pełna własność,2,do zamieszkania,5/5,,880 zł,garaż/miejsce parkingowe,miejskie,,wtórny,prywatny,,1938.0,kamienica,plastikowe,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, piekarnik, kuchenka","piwnica, oddzielna kuchnia, pom. użytkowe",cegła,https://www.otodom.pl/pl/oferta/apartament-z-widokiem-na-palac-kultury-ID4rlkb
"ul. Szwoleżerów, Ujazdów, Śródmieście, Warszawa, mazowieckie",798 000 zł,"36,3 m²",,2,do zamieszkania,2/4,balkon,630 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,1967.0,blok,,nie,,,meble,piwnica,cegła,https://www.otodom.pl/pl/oferta/ladne-do-wejscia-z-balkonem-w-otoczeniu-parkow-ID4rk92
"al. Aleja 3 Maja, Solec, Śródmieście, Warszawa, mazowieckie",2 200 000 zł,103 m²,,3,do remontu,parter/5,,1 000 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-03-18,1931.0,kamienica,,tak,,monitoring / ochrona,,piwnica,cegła,https://www.otodom.pl/pl/oferta/kamienica-projektu-waclawa-weker-z-1931-roku-ID4qF8p
"ul. Częstochowska, Stara Ochota, Ochota, Warszawa, mazowieckie",799 000 zł,47 m²,pełna własność,2,do zamieszkania,1/6,,,,miejskie,,wtórny,biuro nieruchomości,2024-06-08,1957.0,,,tak,,,,piwnica,,https://www.otodom.pl/pl/oferta/stara-ochota-ul-czestochowska-ID4qYqN
"ul. Cieszyńska 2a, Ksawerów, Mokotów, Warszawa, mazowieckie",778 000 zł,"46,83 m²",pełna własność,2,do remontu,5/17,,800 zł,,miejskie,,wtórny,biuro nieruchomości,,1975.0,blok,plastikowe,tak,,"domofon / wideofon, monitoring / ochrona",,"oddzielna kuchnia, pom. użytkowe",inny,https://www.otodom.pl/pl/oferta/mieszkanie-46-83m2-mokotow-cieszynska-ID4ot7O
"ul. Jagiellońska, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",662 489 zł,"39,67 m²",pełna własność,2,do wykończenia,5/11,,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39m2-loggia-bezposrednio-ID4po37
"ul. Powstańców Śląskich 89, Górce, Bemowo, Warszawa, mazowieckie",1 032 000 zł,60 m²,pełna własność,2,do zamieszkania,parter/7,"balkon, ogródek, taras",601 zł,,miejskie,,wtórny,prywatny,,2008.0,apartamentowiec,plastikowe,tak,"telewizja kablowa, internet","system alarmowy, teren zamknięty, domofon / wideofon, monitoring / ochrona",,"klimatyzacja, pom. użytkowe",beton,https://www.otodom.pl/pl/oferta/gotowiec-inwestycyjny-117-600-za-wynajem-z-gory-ID4oQhj
"Aleksandra Kamińskiego 6 a, Tarchomin, Białołęka, Warszawa, mazowieckie",1 150 000 zł,"73,67 m²",spółdzielcze wł. prawo do lokalu,3,do zamieszkania,1/3,balkon,1 100 zł,garaż/miejsce parkingowe,miejskie,,wtórny,prywatny,,1998.0,blok,plastikowe,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe","zmywarka, lodówka, meble, kuchenka","piwnica, oddzielna kuchnia",,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-na-sprzedaz-bez-prowizji-ID4rv4F
"ul. Hawajska, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie",1 170 000 zł,"72,3 m²",,3,do zamieszkania,3/4,balkon,1 415 zł,,miejskie,,wtórny,biuro nieruchomości,2024-07-17,1979.0,blok,,nie,,domofon / wideofon,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,wielka płyta,https://www.otodom.pl/pl/oferta/3-piekne-pokoje-przy-metrze-imielin-wsrod-zieleni-ID4rv4u
"ul. mjr. Henryka Sucharskiego, Jelonki Południowe, Bemowo, Warszawa, mazowieckie",479 000 zł,30 m²,,2,do zamieszkania,parter/10,,440 zł,,miejskie,,wtórny,biuro nieruchomości,,1975.0,blok,,tak,,monitoring / ochrona,meble,,wielka płyta,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-fenomenalna-lokalizacja-ID4rv4t
"ul. Wólczyńska 69 c, Chomiczówka, Bielany, Warszawa, mazowieckie",1 200 000 zł,"73,25 m²",pełna własność,3,do zamieszkania,2/15,balkon,1 100 zł,garaż/miejsce parkingowe,miejskie,A+,wtórny,biuro nieruchomości,,2017.0,apartamentowiec,drewniane,tak,"telewizja kablowa, internet","system alarmowy, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",oddzielna kuchnia,inny,https://www.otodom.pl/pl/oferta/3-pokoje-z-balkonem-i-garazem-ID4pBGO
"Holzera, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",1 599 999 zł,60 m²,pełna własność,3,do zamieszkania,2/4,,,garaż/miejsce parkingowe,miejskie,,pierwotny,biuro nieruchomości,2024-07-31,2023.0,apartamentowiec,,tak,,domofon / wideofon,"lodówka, meble, pralka",klimatyzacja,cegła,https://www.otodom.pl/pl/oferta/wilanow-luksusowy-apartament-nowka-garaz-klima-ID4rv4r
"ul. Wołoska, Wyględów, Mokotów, Warszawa, mazowieckie",707 000 zł,29 m²,pełna własność,1,do wykończenia,1/9,balkon,,garaż/miejsce parkingowe,miejskie,,pierwotny,biuro nieruchomości,,2025.0,apartamentowiec,plastikowe,nie,,,,,cegła,https://www.otodom.pl/pl/oferta/kawalerka-przy-galerii-mokotow-ID4rv4q
"ul. Domaniewska, Ksawerów, Mokotów, Warszawa, mazowieckie",650 000 zł,31 m²,pełna własność,1,do zamieszkania,2/11,balkon,650 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-05-29,1975.0,blok,,tak,"telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona",,piwnica,wielka płyta,https://www.otodom.pl/pl/oferta/gotowiec-inwestycyjny-31-m2-metro-ID4qTtM
"pl. Plac Przymierza, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",985 000 zł,"47,04 m²",pełna własność,2,do wykończenia,2/3,,609 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,1941.0,kamienica,plastikowe,nie,"telewizja kablowa, internet, telefon",domofon / wideofon,"lodówka, meble, piekarnik, kuchenka, pralka",piwnica,cegła,https://www.otodom.pl/pl/oferta/komfort-przedmiesc-w-samym-sercu-saskiej-kepy-ID4rv4b
"ul. Konińska, Skorosze, Ursus, Warszawa, mazowieckie",800 000 zł,"53,86 m²",spółdzielcze wł. prawo do lokalu,3,,2/4,balkon,867 zł,,miejskie,W trakcie realizacji / Zwolnione,wtórny,prywatny,,1963.0,blok,aluminiowe,nie,"telewizja kablowa, internet",,"zmywarka, meble, piekarnik, kuchenka","piwnica, oddzielna kuchnia",cegła,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-warszawa-ursus-ul-koninska-ID4r1ab
"ul. Edwarda Habicha, Szamoty, Ursus, Warszawa, mazowieckie",649 000 zł,"36,8 m²",pełna własność,2,do zamieszkania,6/8,balkon,600 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2023.0,apartamentowiec,plastikowe,tak,,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, piekarnik, kuchenka",,,https://www.otodom.pl/pl/oferta/nowe-wykonczone-2-pokoje-ul-habicha-7-ID4qMSJ
"ul. Radziwie, Młynów, Wola, Warszawa, mazowieckie",699 000 zł,"36,27 m²",pełna własność,2,do zamieszkania,5/11,balkon,278 zł,,miejskie,W trakcie realizacji / Zwolnione,wtórny,prywatny,,2010.0,apartamentowiec,plastikowe,tak,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, pralka",,cegła,https://www.otodom.pl/pl/oferta/mieszkane-2-pokojowe-36-27-m2-wola-ul-radziwie-ID4r5Id
"ul. Radziwie 5, Młynów, Wola, Warszawa, mazowieckie",940 000 zł,47 m²,pełna własność,2,do zamieszkania,3/8,balkon,650 zł,garaż/miejsce parkingowe,miejskie,A+,wtórny,biuro nieruchomości,,2014.0,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,beton komórkowy,https://www.otodom.pl/pl/oferta/2-pokoje-w-doskonalej-lokalizacji-przy-metrze-ID4rv3T
"Huta, Bielany, Warszawa, mazowieckie",1 195 000 zł,75 m²,pełna własność,4,do wykończenia,parter/2,"ogródek, taras",,garaż/miejsce parkingowe,miejskie,,pierwotny,biuro nieruchomości,,2025.0,,plastikowe,tak,"telewizja kablowa, internet",,,"oddzielna kuchnia, pom. użytkowe",,https://www.otodom.pl/pl/oferta/nowa-inwestycja-niska-zabudowa-duze-ogrodki-metro-ID4qEZu
"Międzylesie, Wawer, Warszawa, mazowieckie",1 900 000 zł,120 m²,pełna własność,4,do zamieszkania,parter/3,"ogródek, taras",,garaż/miejsce parkingowe,,,wtórny,biuro nieruchomości,,2022.0,apartamentowiec,plastikowe,tak,"telewizja kablowa, internet","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",,"klimatyzacja, oddzielna kuchnia, pom. użytkowe",,https://www.otodom.pl/pl/oferta/nowe-ogrod-ok-300m2-3-miejsca-w-garazu-komorka-ID4qK8a
"ul. Dzieci Warszawy, Skorosze, Ursus, Warszawa, mazowieckie",715 000 zł,"49,28 m²",pełna własność,3,,2/4,,,,,W trakcie realizacji / Zwolnione,wtórny,prywatny,,2009.0,blok,,nie,,,,,,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-2-pokojowe-gabinet-ID4rgxK
"ul. Mołdawska, Rakowiec, Ochota, Warszawa, mazowieckie",538 000 zł,28 m²,,1,do zamieszkania,2/10,balkon,630 zł,,miejskie,,wtórny,biuro nieruchomości,2024-07-10,1973.0,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, kuchenka, pralka",piwnica,wielka płyta,https://www.otodom.pl/pl/oferta/ustawna-kawalerka-po-remoncie-parkiet-ID4rv3o
"ul. Bokserska, Wyczółki, Ursynów, Warszawa, mazowieckie",1 150 391 zł,"55,78 m²",pełna własność,3,do wykończenia,parter/5,ogródek,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-55m2-2-ogrodki-ID4q2n8
"ul. Fajansowa, Raków, Włochy, Warszawa, mazowieckie",1 004 300 zł,"66,36 m²",pełna własność,3,do wykończenia,1/7,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-66m2-2-balkony-ID4mM6q
"ul. Zwrotnicza, Czyste, Wola, Warszawa, mazowieckie",1 969 000 zł,"92,67 m²",pełna własność,4,do wykończenia,5/6,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-92m2-balkon-bez-prowizji-ID4qMI7
"ul. Staszowska, Wyględów, Mokotów, Warszawa, mazowieckie",1 630 000 zł,"90,7 m²",pełna własność,5,do zamieszkania,3/4,ogródek,1 200 zł,,miejskie,W trakcie realizacji / Zwolnione,wtórny,prywatny,,1997.0,blok,drewniane,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica, dwupoziomowe",cegła,https://www.otodom.pl/pl/oferta/cichy-wygledow-5-pokojow-z-widokiem-na-zielen-ID4rv2Q
"Siekierki, Mokotów, Warszawa, mazowieckie",2 159 000 zł,"100,39 m²",pełna własność,4,do zamieszkania,parter/2,"ogródek, taras",1 490 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2018.0,apartamentowiec,plastikowe,tak,internet,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","klimatyzacja, oddzielna kuchnia, pom. użytkowe",,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-z-ogrodkiem-na-mokotowie-ID4qSjf
"ul. Aleksandra Gieysztora, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",900 689 zł,"43,81 m²",pełna własność,2,do wykończenia,parter/4,"taras, ogródek",,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-43m2-ogrodek-bezposrednio-ID4nBYr
"ul. Pawła Włodkowica, Brzeziny, Białołęka, Warszawa, mazowieckie",510 000 zł,"35,75 m²",pełna własność,2,do wykończenia,3/3,balkon,,garaż/miejsce parkingowe,gazowe,,pierwotny,prywatny,,2024.0,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",,"klimatyzacja, pom. użytkowe",żelbet,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-2-pokojowe-35-75m-ID4qR8f
"ul. Posag 7 Panien, Szamoty, Ursus, Warszawa, mazowieckie",Zapytaj o cenę,"61,84 m²",pełna własność,3,do wykończenia,7/7,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-61m2-balkon-bez-prowizji-ID4mthf
"al. Aleja Krakowska, Raków, Włochy, Warszawa, mazowieckie",Zapytaj o cenę,"60,72 m²",pełna własność,3,do wykończenia,2/10,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-60m2-balkon-ID4foVz
"ul. Czarnomorska, Stegny, Mokotów, Warszawa, mazowieckie",Zapytaj o cenę,"59,52 m²",pełna własność,3,do wykończenia,5/7,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-59m2-balkon-bezposrednio-ID4oOY6
"ul. Mokry Ług 71D, Stary Rembertów, Rembertów, Warszawa, mazowieckie",989 000 zł,118 m²,pełna własność,5,do wykończenia,1/1,"ogródek, taras",,garaż/miejsce parkingowe,gazowe,W trakcie realizacji / Zwolnione,pierwotny,biuro nieruchomości,,2024.0,dom wolnostojący,plastikowe,nie,internet,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",,pom. użytkowe,cegła,https://www.otodom.pl/pl/oferta/1-2-blizniaka-118m2-przy-lesie-po-odbiorach-ID4pZq4
"ul. Egipska, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",769 000 zł,"46,5 m²",pełna własność,3,do zamieszkania,2/4,balkon,820 zł,,miejskie,A,wtórny,prywatny,,1973.0,blok,plastikowe,nie,,"drzwi / okna antywłamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",wielka płyta,https://www.otodom.pl/pl/oferta/warszawa-saska-kepa-ul-egipska-bezposrednio-ID4r9jV
"Grodzisk, Białołęka, Warszawa, mazowieckie",729 000 zł,68 m²,pełna własność,3,do wykończenia,3/3,"balkon, taras",1 030 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-07-15,2007.0,blok,plastikowe,nie,,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",meble,pom. użytkowe,cegła,https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-z-pieknym-widokiem-ID4roBm
"ul. Konstruktorska, Służewiec, Mokotów, Warszawa, mazowieckie",999 000 zł,50 m²,pełna własność,2,do zamieszkania,6/8,balkon,800 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,,apartamentowiec,drewniane,tak,"telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",meble,"klimatyzacja, pom. użytkowe",,https://www.otodom.pl/pl/oferta/przytulny-apartament-w-prestizowej-czesci-mokotowa-ID4qGsj
"Stary Mokotów, Mokotów, Warszawa, mazowieckie",890 000 zł,47 m²,,2,do remontu,3/5,balkon,721 zł,,miejskie,,wtórny,biuro nieruchomości,2024-07-11,1983.0,kamienica,plastikowe,tak,,"drzwi / okna antywłamaniowe, domofon / wideofon, teren zamknięty",,"piwnica, oddzielna kuchnia",cegła,https://www.otodom.pl/pl/oferta/stary-mokotow-kamienica-3h-cicho-loggia-ID4rv1R
"ul. Śródziemnomorska, Stegny, Mokotów, Warszawa, mazowieckie",648 703 zł,"34,69 m²",pełna własność,1,do wykończenia,2/11,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-balkon-bez-prowizji-ID4jB0E
"ul. Wołoska, Stary Mokotów, Mokotów, Warszawa, mazowieckie",739 000 zł,"48,7 m²",,2,,1/6,,960 zł,,miejskie,,wtórny,biuro nieruchomości,,1958.0,kamienica,plastikowe,tak,"telefon, internet, telewizja kablowa","domofon / wideofon, teren zamknięty",,"piwnica, oddzielna kuchnia",cegła,https://www.otodom.pl/pl/oferta/pole-mokotowskiekamienica-z-windawysokie-ID4rv1L
"ul. Przy Agorze, Wrzeciono, Bielany, Warszawa, mazowieckie",509 000 zł,"24,7 m²",pełna własność,1,do remontu,2/5,balkon,420 zł,,miejskie,,wtórny,biuro nieruchomości,2024-07-11,2008.0,blok,plastikowe,tak,internet,"domofon / wideofon, monitoring / ochrona","meble, piekarnik, lodówka, pralka",,,https://www.otodom.pl/pl/oferta/duzy-balkonmetronowe-budownictwo-ID4rv1M
"ul. Aleksandra Gieysztora, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",2 004 275 zł,"113,75 m²",pełna własność,4,do wykończenia,1/4,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-113m2-balkon-bezposrednio-ID4nBYy
"ul. Nowoursynowska, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie",1 190 000 zł,"76,3 m²",pełna własność,3,do zamieszkania,2/5,balkon,700 zł,garaż/miejsce parkingowe,miejskie,,wtórny,prywatny,,2001.0,apartamentowiec,drewniane,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",,"piwnica, oddzielna kuchnia",cegła,https://www.otodom.pl/pl/oferta/bezposrednio-sprzedam-3-pokoje-ursynow-ID4rgwX
"ul. Trakt Lubelski, Zerzeń, Wawer, Warszawa, mazowieckie",839 000 zł,"76,3 m²",,3,,1/1,,,,,,pierwotny,deweloper,,2025.0,,,nie,,teren zamknięty,,,,https://www.otodom.pl/pl/oferta/mieszkanie-36-pokoi-z-dodatkowym-poddaszem-m2-ID4pPHB
"ul. Komputerowa, Służewiec, Mokotów, Warszawa, mazowieckie",Zapytaj o cenę,"113,45 m²",pełna własność,4,do wykończenia,1/8,,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-113m2-2-loggie-ID4qHcv
"ul. Leona Berensona, Grodzisk, Białołęka, Warszawa, mazowieckie",629 000 zł,"41,37 m²",pełna własność,2,do zamieszkania,2/4,balkon,580 zł,garaż/miejsce parkingowe,,,wtórny,biuro nieruchomości,,2010.0,,plastikowe,nie,,,"zmywarka, lodówka, meble, piekarnik, kuchenka",pom. użytkowe,,https://www.otodom.pl/pl/oferta/mieszkanie-z-duzym-balkonem-bialoleka-629-tys-ID4rv1k
"Nowodwory, Białołęka, Warszawa, mazowieckie",890 000 zł,"63,7 m²",pełna własność,3,do zamieszkania,3/3,balkon,,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-07-15,2000.0,blok,,nie,,monitoring / ochrona,,"piwnica, pom. użytkowe",cegła,https://www.otodom.pl/pl/oferta/mieszkanie-63-70-m-warszawa-ID4rv1j
"Ulrychów, Wola, Warszawa, mazowieckie",2 488 250 zł,"99,5 m²",,4,do wykończenia,> 10,"balkon, taras",,garaż/miejsce parkingowe,,,pierwotny,biuro nieruchomości,,,apartamentowiec,,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",,,,https://www.otodom.pl/pl/oferta/serce-woli-apartament-100-m2-z-2-tarasami-ID4rv0U
"al. Aleja Komisji Edukacji Narodowej 36, Natolin, Ursynów, Warszawa, mazowieckie",1 345 000 zł,"62,16 m²",pełna własność,2,do zamieszkania,4/15,,1 130 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2003.0,apartamentowiec,plastikowe,tak,,monitoring / ochrona,meble,piwnica,inny,https://www.otodom.pl/pl/oferta/apartament-do-wprowadzenia-tuz-przy-metrze-garaz-ID4rv0G
"ul. Tadeusza Korsaka, Szmulowizna, Praga-Północ, Warszawa, mazowieckie",530 000 zł,30 m²,,1,do zamieszkania,4/10,,600 zł,,miejskie,,wtórny,biuro nieruchomości,2024-04-12,1970.0,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona",,"klimatyzacja, piwnica",wielka płyta,https://www.otodom.pl/pl/oferta/30m2-jasne-praga-polnoc-ID4q6FE
"ul. Apenińska, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie",985 000 zł,63 m²,pełna własność,3,do zamieszkania,parter/8,balkon,1 000 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-04-16,1984.0,blok,,nie,,domofon / wideofon,,piwnica,inny,https://www.otodom.pl/pl/oferta/3-pokojowe-do-wejscia-cicha-i-zielona-okolica-ID4qaFZ
"ul. Bełdan, Służew, Mokotów, Warszawa, mazowieckie",830 000 zł,48 m²,pełna własność,2,do wykończenia,1/10,balkon,700 zł,,miejskie,,wtórny,biuro nieruchomości,2024-05-16,1970.0,blok,plastikowe,tak,"telewizja kablowa, internet",domofon / wideofon,meble,piwnica,inny,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-mokotow-dobry-dojazd-ID4q6Rk
"al. Aleje Jerozolimskie, Stara Ochota, Ochota, Warszawa, mazowieckie",610 000 zł,"25,6 m²",pełna własność,1,do wykończenia,5/10,,460 zł,,miejskie,,wtórny,biuro nieruchomości,2024-04-15,1971.0,blok,,tak,,domofon / wideofon,,,inny,https://www.otodom.pl/pl/oferta/okazja-inwestycyjne-w-doskonalej-lokalizacji-ID4q6u4
"ul. Iwicka, Sielce, Mokotów, Warszawa, mazowieckie",1 275 000 zł,"45,42 m²",pełna własność,2,do zamieszkania,1/5,,800 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-04-12,2022.0,apartamentowiec,,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",,,inny,https://www.otodom.pl/pl/oferta/w-pelni-urzadzone-mieszkanie-w-cichej-okolicy-ID4q6u3
